,ImgPosF,ImgPreF,FireScar_tif,FireScar_shp,date,date_d,ID,fireID,left,right,up,down,shape,shape_f,y_f,x_f,real_area_ha,burned_area_per,total_area_m2,total_area_m2_int
0,ImgPosF_CL-BI_ID191720_u550_20170327_clip.tif,ImgPreF_CL-BI_ID191720_u550_20170327_clip.tif,FireScar_CL-BI_ID191720_u550_20170327.tif,FireScar_CL-BI_ID191720_u550_20170327.shp,20170327,736322.0,191720,ID191720,-72.7309291688677,-72.69643386195752,-36.44483073978581,-36.479326046696,"(128, 128)","(12, 21)",12.0,21.0,10.691392376708984,0.7250564491583241,106913.92376708984,106913
1,ImgPosF_CL-BI_ID193199_u400_20180210_clip.tif,ImgPreF_CL-BI_ID193199_u400_20180210_clip.tif,FireScar_CL-BI_ID193199_u400_20180210.tif,FireScar_CL-BI_ID193199_u400_20180210.shp,20180210,736640.0,193199,ID193199,-73.33028512643224,-73.29578981952206,-38.00789933415378,-38.04239464106397,"(128, 128)","(19, 36)",19.0,36.0,16.067377093505858,1.089638746033112,160673.77093505856,160673
2,ImgPosF_CL-BI_ID192577_u350_20171225_clip.tif,ImgPreF_CL-BI_ID192577_u350_20171225_clip.tif,FireScar_CL-BI_ID192577_u350_20171225.tif,FireScar_CL-BI_ID192577_u350_20171225.shp,20171225,736590.0,192577,ID192577,-72.4918874717635,-72.45739216485332,-36.38688940396011,-36.4213847108703,"(128, 128)","(34, 22)",34.0,22.0,24.50696098022461,1.6619846584896247,245069.6098022461,245069
3,ImgPosF_CL-BI_ID192999_u300_20180119_clip.tif,ImgPreF_CL-BI_ID192999_u300_20180119_clip.tif,FireScar_CL-BI_ID192999_u300_20180119.tif,FireScar_CL-BI_ID192999_u300_20180119.shp,20180119,736619.0,192999,ID192999,-72.10570173112053,-72.07120642421035,-36.65153308666172,-36.6860283935719,"(128, 128)","(23, 89)",23.0,89.0,81.05594494018554,5.496958071572912,810559.4494018554,810559
4,ImgPosF_CL-BI_ID192530_u525_20171126_clip.tif,ImgPreF_CL-BI_ID192530_u525_20171126_clip.tif,FireScar_CL-BI_ID192530_u525_20171126.tif,FireScar_CL-BI_ID192530_u525_20171126.shp,20171126,736561.0,192530,ID192530,-72.43179017925591,-72.39729487234573,-36.26103543265496,-36.29553073956515,"(128, 128)","(37, 13)",37.0,13.0,11.150704699707031,0.7562055596046978,111507.04699707033,111507
5,ImgPosF_CL-BI_ID192700_u595_20171208_clip.tif,ImgPreF_CL-BI_ID192700_u595_20171208_clip.tif,FireScar_CL-BI_ID192700_u595_20171208.tif,FireScar_CL-BI_ID192700_u595_20171208.shp,20171208,736573.0,192700,ID192700,-73.46880534324349,-73.4343100363333,-38.16097225856775,-38.195467565477934,"(128, 128)","(42, 21)",42.0,21.0,19.848633001708983,1.3460715740091271,198486.3300170898,198486
6,ImgPosF_CL-BI_ID191696_u350_20180212_clip.tif,ImgPreF_CL-BI_ID191696_u350_20180212_clip.tif,FireScar_CL-BI_ID191696_u350_20180212.tif,FireScar_CL-BI_ID191696_u350_20180212.shp,20180212,736642.0,191696,ID191696,-72.35767916831604,-72.32318386140585,-37.53790077750245,-37.57239608441264,"(128, 128)","(29, 29)",29.0,29.0,26.709905603027345,1.8113814021150272,267099.05603027344,267099
7,ImgPosF_CL-BI_ID193045_u330_20180128_clip.tif,ImgPreF_CL-BI_ID193045_u330_20180128_clip.tif,FireScar_CL-BI_ID193045_u330_20180128.tif,FireScar_CL-BI_ID193045_u330_20180128.shp,20180128,736628.0,193045,ID193045,-72.37007591923691,-72.33558061232672,-37.37189211299716,-37.40638741990735,"(128, 128)","(47, 39)",47.0,39.0,60.74607738037109,4.119607027206156,607460.7738037109,607460
8,ImgPosF_CL-BI_ID192653_u560_20171120_clip.tif,ImgPreF_CL-BI_ID192653_u560_20171120_clip.tif,FireScar_CL-BI_ID192653_u560_20171120.tif,FireScar_CL-BI_ID192653_u560_20171120.shp,20171120,736555.0,192653,ID192653,-73.46853584865825,-73.43404054174806,-38.018409622977984,-38.05290492988817,"(128, 128)","(20, 24)",20.0,24.0,5.803274169921875,0.3935597174697453,58032.74169921875,58032
9,ImgPosF_CL-BI_ID192744_u490_20171221_clip.tif,ImgPreF_CL-BI_ID192744_u490_20171221_clip.tif,FireScar_CL-BI_ID192744_u490_20171221.tif,FireScar_CL-BI_ID192744_u490_20171221.shp,20171221,736586.0,192744,ID192744,-72.34420443905425,-72.30970913214406,-36.52460113701563,-36.55909644392582,"(128, 128)","(26, 20)",26.0,20.0,14.361133569335935,0.973926701479488,143611.33569335935,143611
10,ImgPosF_CL-BI_ID193136_u350_20180204_clip.tif,ImgPreF_CL-BI_ID193136_u350_20180204_clip.tif,FireScar_CL-BI_ID193136_u350_20180204.tif,FireScar_CL-BI_ID193136_u350_20180204.shp,20180204,736634.0,193136,ID193136,-72.56734595562955,-72.53285064871936,-37.071675145044416,-37.10617045195461,"(128, 128)","(78, 22)",78.0,22.0,48.44222244262696,3.2851984620922146,484422.2244262696,484422
11,ImgPosF_CL-BI_ID193092_u300_20180131_clip.tif,ImgPreF_CL-BI_ID193092_u300_20180131_clip.tif,FireScar_CL-BI_ID193092_u300_20180131.tif,FireScar_CL-BI_ID193092_u300_20180131.shp,20180131,736631.0,193092,ID193092,-71.95963566592269,-71.9251403590125,-37.67642099431367,-37.71091630122386,"(128, 128)","(37, 50)",37.0,50.0,65.69171497192383,4.455004541824262,656917.1497192383,656917
12,ImgPosF_CL-BI_ID191699_u478_20171208_clip.tif,ImgPreF_CL-BI_ID191699_u478_20171208_clip.tif,FireScar_CL-BI_ID191699_u478_20171208.tif,FireScar_CL-BI_ID191699_u478_20171208.shp,20171208,736573.0,191699,ID191699,-73.40035371859358,-73.36585841168339,-38.04158615730826,-38.07608146421845,"(128, 128)","(13, 22)",13.0,22.0,4.527976611328125,0.3070730666319529,45279.76611328125,45279
13,ImgPosF_CL-BI_ID192764_u525_20171223_clip.tif,ImgPreF_CL-BI_ID192764_u525_20171223_clip.tif,FireScar_CL-BI_ID192764_u525_20171223.tif,FireScar_CL-BI_ID192764_u525_20171223.shp,20171223,736588.0,192764,ID192764,-72.66166906046209,-72.6271737535519,-37.211542834781824,-37.24603814169201,"(128, 128)","(27, 11)",27.0,11.0,14.520834661865234,0.9847571249637338,145208.34661865234,145208
14,ImgPosF_CL-BI_ID193012_u525_20180125_clip.tif,ImgPreF_CL-BI_ID193012_u525_20180125_clip.tif,FireScar_CL-BI_ID193012_u525_20180125.tif,FireScar_CL-BI_ID193012_u525_20180125.shp,20180125,736625.0,193012,ID193012,-73.42595570419098,-73.3914603972808,-38.24828850418417,-38.28278381109436,"(128, 128)","(21, 41)",21.0,41.0,24.05831827392578,1.631559127734767,240583.1827392578,240583
15,ImgPosF_CL-BI_ID193133_u350_20180204_clip.tif,ImgPreF_CL-BI_ID193133_u350_20180204_clip.tif,FireScar_CL-BI_ID193133_u350_20180204.tif,FireScar_CL-BI_ID193133_u350_20180204.shp,20180204,736634.0,193133,ID193133,-72.22158440277194,-72.18708909586175,-37.72924193301991,-37.763737239930094,"(128, 128)","(44, 56)",44.0,56.0,89.8731413269043,6.0949124706288185,898731.4132690431,898731
16,ImgPosF_CL-BI_ID192802_u385_20171231_clip.tif,ImgPreF_CL-BI_ID192802_u385_20171231_clip.tif,FireScar_CL-BI_ID192802_u385_20171231.tif,FireScar_CL-BI_ID192802_u385_20171231.shp,20171231,736596.0,192802,ID192802,-72.27629180357482,-72.24179649666463,-36.646143194957,-36.68063850186719,"(128, 128)","(14, 15)",14.0,15.0,3.962994158935547,0.2687577418982982,39629.94158935547,39629
17,ImgPosF_CL-BI_ID192798_u535_20171229_clip.tif,ImgPreF_CL-BI_ID192798_u535_20171229_clip.tif,FireScar_CL-BI_ID192798_u535_20171229.tif,FireScar_CL-BI_ID192798_u535_20171229.shp,20171229,736594.0,192798,ID192798,-72.2175419839934,-72.18304667708321,-37.73193687887227,-37.766432185782456,"(128, 128)","(25, 20)",25.0,20.0,19.252423931884767,1.3056385587486956,192524.23931884769,192524
18,ImgPosF_CL-BI_ID193074_u578_20180130_clip.tif,ImgPreF_CL-BI_ID193074_u578_20180130_clip.tif,FireScar_CL-BI_ID193074_u578_20180130.tif,FireScar_CL-BI_ID193074_u578_20180130.shp,20180130,736630.0,193074,ID193074,-71.92487086442726,-71.89037555751707,-37.20696142683281,-37.241456733743,"(128, 128)","(34, 29)",34.0,29.0,23.39187811279297,1.586363261772527,233918.7811279297,233918
19,ImgPosF_CL-BI_ID193191_u350_20180204_clip.tif,ImgPreF_CL-BI_ID193191_u350_20180204_clip.tif,FireScar_CL-BI_ID193191_u350_20180204.tif,FireScar_CL-BI_ID193191_u350_20180204.shp,20180204,736634.0,193191,ID193191,-72.33800606359382,-72.30351075668364,-36.78439391718299,-36.818889224093176,"(128, 128)","(103, 56)",103.0,56.0,144.71735213623046,9.814273555245665,1447173.5213623047,1447173
20,ImgPosF_CL-BI_ID191694_u470_20180130_clip.tif,ImgPreF_CL-BI_ID191694_u470_20180130_clip.tif,FireScar_CL-BI_ID191694_u470_20180130.tif,FireScar_CL-BI_ID191694_u470_20180130.shp,20180130,736630.0,191694,ID191694,-72.3927134643967,-72.35821815748652,-37.01912370092342,-37.05361900783361,"(128, 128)","(18, 10)",18.0,10.0,5.3782656860351565,0.3647369850012991,53782.65686035156,53782
21,ImgPosF_CL-BI_ID191624_u350_20180210_clip.tif,ImgPreF_CL-BI_ID191624_u350_20180210_clip.tif,FireScar_CL-BI_ID191624_u350_20180210.tif,FireScar_CL-BI_ID191624_u350_20180210.shp,20180210,736640.0,191624,ID191624,-72.3498638253442,-72.31536851843401,-37.06682424251017,-37.10131954942036,"(128, 128)","(23, 19)",23.0,19.0,16.6981904296875,1.132418513298035,166981.904296875,166981
22,ImgPosF_CL-BI_ID193096_u505_20180116_clip.tif,ImgPreF_CL-BI_ID193096_u505_20180116_clip.tif,FireScar_CL-BI_ID193096_u505_20180116.tif,FireScar_CL-BI_ID193096_u505_20180116.shp,20180116,736616.0,193096,ID193096,-72.52126238155421,-72.48676707464402,-37.57077911690122,-37.60527442381141,"(128, 128)","(38, 24)",38.0,24.0,27.053934350585937,1.834712344739172,270539.3435058594,270539
