X Y Z
-73.2325933392842501 -37.5585171132729911 0
-73.2323238446990104 -37.5585171132729911 1
-73.2320543501137848 -37.5585171132729911 1
-73.2317848555285451 -37.5585171132729911 1
-73.2315153609433054 -37.5585171132729911 1
-73.2312458663580657 -37.5585171132729911 1
-73.2309763717728401 -37.5585171132729911 0
-73.2307068771876004 -37.5585171132729911 0
-73.2304373826023607 -37.5585171132729911 0
-73.2301678880171352 -37.5585171132729911 0
-73.2298983934318954 -37.5585171132729911 0
-73.2325933392842501 -37.5587866078582238 0
-73.2323238446990104 -37.5587866078582238 0
-73.2320543501137848 -37.5587866078582238 0
-73.2317848555285451 -37.5587866078582238 1
-73.2315153609433054 -37.5587866078582238 1
-73.2312458663580657 -37.5587866078582238 1
-73.2309763717728401 -37.5587866078582238 0
-73.2307068771876004 -37.5587866078582238 0
-73.2304373826023607 -37.5587866078582238 0
-73.2301678880171352 -37.5587866078582238 0
-73.2298983934318954 -37.5587866078582238 0
-73.2325933392842501 -37.5590561024434635 0
-73.2323238446990104 -37.5590561024434635 0
-73.2320543501137848 -37.5590561024434635 0
-73.2317848555285451 -37.5590561024434635 0
-73.2315153609433054 -37.5590561024434635 0
-73.2312458663580657 -37.5590561024434635 0
-73.2309763717728401 -37.5590561024434635 1
-73.2307068771876004 -37.5590561024434635 0
-73.2304373826023607 -37.5590561024434635 0
-73.2301678880171352 -37.5590561024434635 0
-73.2298983934318954 -37.5590561024434635 0
-73.2325933392842501 -37.5593255970286961 0
-73.2323238446990104 -37.5593255970286961 0
-73.2320543501137848 -37.5593255970286961 1
-73.2317848555285451 -37.5593255970286961 0
-73.2315153609433054 -37.5593255970286961 0
-73.2312458663580657 -37.5593255970286961 1
-73.2309763717728401 -37.5593255970286961 1
-73.2307068771876004 -37.5593255970286961 1
-73.2304373826023607 -37.5593255970286961 1
-73.2301678880171352 -37.5593255970286961 0
-73.2298983934318954 -37.5593255970286961 0
-73.2325933392842501 -37.5595950916139358 0
-73.2323238446990104 -37.5595950916139358 0
-73.2320543501137848 -37.5595950916139358 1
-73.2317848555285451 -37.5595950916139358 1
-73.2315153609433054 -37.5595950916139358 1
-73.2312458663580657 -37.5595950916139358 1
-73.2309763717728401 -37.5595950916139358 1
-73.2307068771876004 -37.5595950916139358 1
-73.2304373826023607 -37.5595950916139358 1
-73.2301678880171352 -37.5595950916139358 1
-73.2298983934318954 -37.5595950916139358 0
-73.2325933392842501 -37.5598645861991685 0
-73.2323238446990104 -37.5598645861991685 0
-73.2320543501137848 -37.5598645861991685 1
-73.2317848555285451 -37.5598645861991685 1
-73.2315153609433054 -37.5598645861991685 1
-73.2312458663580657 -37.5598645861991685 1
-73.2309763717728401 -37.5598645861991685 1
-73.2307068771876004 -37.5598645861991685 1
-73.2304373826023607 -37.5598645861991685 1
-73.2301678880171352 -37.5598645861991685 1
-73.2298983934318954 -37.5598645861991685 0
-73.2325933392842501 -37.5601340807844011 0
-73.2323238446990104 -37.5601340807844011 0
-73.2320543501137848 -37.5601340807844011 1
-73.2317848555285451 -37.5601340807844011 1
-73.2315153609433054 -37.5601340807844011 1
